"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Marco Gonzales",5100,"StL@Ari 09:40PM ET",0,"StL"
"OF","Giancarlo Stanton",5000,"Mia@LAD 10:10PM ET",9.368,"Mia"
"SP","Manny Banuelos",5000,"Atl@Bos 07:10PM ET",0,"Atl"
"3B","Todd Frazier",4900,"CWS@Bal 07:05PM ET",7.864,"CWS"
"1B","Jose Abreu",4900,"CWS@Bal 07:05PM ET",5.864,"CWS"
"SP","Vance Worley",4800,"CWS@Bal 07:05PM ET",10.325,"Bal"
"SP","Tyler Wilson",4800,"CWS@Bal 07:05PM ET",7.213,"Bal"
"OF","Adam Eaton",4800,"CWS@Bal 07:05PM ET",6.905,"CWS"
"SP","Mike Wright",4800,"CWS@Bal 07:05PM ET",9.133,"Bal"
"RP","Dylan Bundy",4800,"CWS@Bal 07:05PM ET",1.092,"Bal"
"1B","David Ortiz",4700,"Atl@Bos 07:10PM ET",9.842,"Bos"
"SP","Williams Perez",4600,"Atl@Bos 07:10PM ET",4.183,"Atl"
"3B/SS","Manny Machado",4600,"CWS@Bal 07:05PM ET",10.350,"Bal"
"OF","Mark Trumbo",4500,"CWS@Bal 07:05PM ET",9.900,"Bal"
"2B","Dustin Pedroia",4400,"Atl@Bos 07:10PM ET",10.000,"Bos"
"3B","Matt Carpenter",4400,"StL@Ari 09:40PM ET",9.333,"StL"
"1B","Hanley Ramirez",4300,"Atl@Bos 07:10PM ET",7.550,"Bos"
"1B","Chris Davis",4300,"CWS@Bal 07:05PM ET",9.050,"Bal"
"SS","Xander Bogaerts",4300,"Atl@Bos 07:10PM ET",9.250,"Bos"
"SS","Jimmy Rollins",4200,"CWS@Bal 07:05PM ET",6.750,"CWS"
"OF","Adam Jones",4200,"CWS@Bal 07:05PM ET",4.625,"Bal"
"RP","Tyler Lyons",4200,"StL@Ari 09:40PM ET",1.757,"StL"
"OF","Stephen Piscotty",4200,"StL@Ari 09:40PM ET",10.250,"StL"
"SP","Jose Urena",4200,"Mia@LAD 10:10PM ET",3.250,"Mia"
"1B","Freddie Freeman",4100,"Atl@Bos 07:10PM ET",6.200,"Atl"
"2B","Brett Lawrie",4100,"CWS@Bal 07:05PM ET",6.500,"CWS"
"2B","Dee Gordon",4100,"Mia@LAD 10:10PM ET",7.700,"Mia"
"RP","Jason Grilli",4000,"Atl@Bos 07:10PM ET",1.911,"Atl"
"SP","Josh Beckett",4000,"Mia@LAD 10:10PM ET",0,"LAD"
"RP","Jason Frasor",4000,"Atl@Bos 07:10PM ET",0,"Atl"
"SP","Edwin Jackson",4000,"Mia@LAD 10:10PM ET",1.513,"Mia"
"RP","Brandon League",4000,"Mia@LAD 10:10PM ET",0,"LAD"
"RP","Jim Johnson",4000,"Atl@Bos 07:10PM ET",2.655,"Atl"
"RP","Craig Breslow",4000,"Mia@LAD 10:10PM ET",2.375,"Mia"
"RP","Joe Blanton",4000,"Mia@LAD 10:10PM ET",3.800,"LAD"
"RP","Matt Albers",4000,"CWS@Bal 07:05PM ET",3.720,"CWS"
"RP","Zach Duke",4000,"CWS@Bal 07:05PM ET",1.614,"CWS"
"RP","Jonathan Broxton",4000,"StL@Ari 09:40PM ET",3.589,"StL"
"RP","Jesse Crain",4000,"CWS@Bal 07:05PM ET",0,"CWS"
"RP","Brad Ziegler",4000,"StL@Ari 09:40PM ET",3.656,"Ari"
"RP","Eric O'Flaherty",4000,"Atl@Bos 07:10PM ET",0.214,"Atl"
"RP","Tyler Clippard",4000,"StL@Ari 09:40PM ET",3.294,"Ari"
"SP","Felipe Paulino",4000,"Atl@Bos 07:10PM ET",0,"Bos"
"RP","Alexi Ogando",4000,"Atl@Bos 07:10PM ET",3.478,"Atl"
"3B","Pablo Sandoval",4000,"Atl@Bos 07:10PM ET",0.667,"Bos"
"RP","J.P. Howell",4000,"Mia@LAD 10:10PM ET",0.233,"LAD"
"RP","Jonny Venters",4000,"Atl@Bos 07:10PM ET",0,"Atl"
"RP","Samuel Deduno",4000,"CWS@Bal 07:05PM ET",0,"Bal"
"RP","Mike Dunn",4000,"Mia@LAD 10:10PM ET",0,"Mia"
"RP","Josh Outman",4000,"Atl@Bos 07:10PM ET",0,"Atl"
"RP","Kenley Jansen",4000,"Mia@LAD 10:10PM ET",4.594,"LAD"
"RP","Anthony Varvaro",4000,"Atl@Bos 07:10PM ET",0,"Bos"
"RP","Seung Hwan Oh",4000,"StL@Ari 09:40PM ET",5.418,"StL"
"RP","Darren O'Day",4000,"CWS@Bal 07:05PM ET",4.494,"Bal"
"RP","Bryan Morris",4000,"Mia@LAD 10:10PM ET",1.096,"Mia"
"RP","Zach Britton",4000,"CWS@Bal 07:05PM ET",3.839,"Bal"
"RP","Nate Adcock",4000,"CWS@Bal 07:05PM ET",0,"Bal"
"RP","Josh Ravin",4000,"Mia@LAD 10:10PM ET",0,"LAD"
"RP","Chris Hatcher",4000,"Mia@LAD 10:10PM ET",2.014,"LAD"
"RP","Jordan Walden",4000,"StL@Ari 09:40PM ET",0,"StL"
"RP","David Robertson",4000,"CWS@Bal 07:05PM ET",4.245,"CWS"
"RP","Preston Claiborne",4000,"Mia@LAD 10:10PM ET",0,"Mia"
"RP","Nate Jones",4000,"CWS@Bal 07:05PM ET",3.618,"CWS"
"RP","Chris Withrow",4000,"Atl@Bos 07:10PM ET",1.428,"Atl"
"RP","T.J. McFarland",4000,"CWS@Bal 07:05PM ET",2.817,"Bal"
